Mangoes are a mature,Mangoes are a usual,Mangoes are a seasonal,Mangoes are a particular
0,0,4290,3
are typical course requirements,are typical course techniques,are typical course situations,are typical course principles
5,0,0,0
distribute our dreams,fulfill our dreams,convince our dreams,monitor our dreams
8,590000,7,11000
making chilly promises,making liberal promises,making hollow promises,making definite promises
0,371,9880,336
slipped her ankle,dumped her ankle,twisted her ankle,recovered her ankle
23300,1,501000,8
have quite different decisions,have quite different beliefs,have quite different styles,have quite different degrees
5,5940,99200,56200
manager is very persuasive,manager is very tolerable,manager is very suspicious,manager is very demanding
6240,3,8,40700
anxiously for their missing children,precisely for their missing children,evidently for their missing children,distinctly for their missing children
2,0,0,0
deposited by a group,reserved by a group,vanished by a group,surrounded by a group
721000,914000,4,67200000
credit the interviewers,impress the interviewers,relieve the interviewers,acquire the interviewers
12500,119000,14200,2
disappeared under a flake,disappeared under a blossom,disappeared under a blanket,disappeared under a flash
0,0,47100,20800
likes books with wide angles,likes books with wide margins,likes books with wide exceptions,likes books with wide limitations
0,1,0,0
receive a low grade as a hardship,receive a low grade as a comment,receive a low grade as a bargain,receive a low grade as a penalty
1,0,0,2
conducted in this hospital,confirmed in this hospital,implied in this hospital,improved in this hospital
280000,72800,0,67400
efficient firestorm has,reliable firestorm has,massive firestorm has,adequate firestorm has
0,2,77,2
accuracy,0.933333333,,
all_ans_acc,0.836246496,,
correct_ans_acc,0.893348708,,
