come as a vision,come as a focus,come as a surprise,come as a conclusion,
10,10,5,4,
John exercises regularly,John exercises directly,John exercises hardly,John exercises gradually,
3,1,2,1,
assume different cultures,explore different cultures,occupy different cultures,inspire different cultures,
3,2,6,3,
is a well-known Chinese figure,is a well-known Chinese rumor,is a well-known Chinese miracle,is a well-known Chinese legend,
9,2,7,1,
age of 12 are generally not diligent,age of 12 are generally not mature,age of 12 are generally not familiar,age of 12 are generally not sincere,
9,4,5,2,
hesitation after hearing,relief after hearing,sorrow after hearing,triumph after hearing,
7,5,3,9,
be more efficient,be more practical,be more changeable,be more optimistic,
2,9,9,10,
running championship rapidly,running championship urgently,running championship continuously,running championship temporarily,
3,9,6,2,
rather than a liberal flight,rather than a domestic flight,rather than a connected flight,rather than a universal flight,
1,5,4,7,
boasting to all his friends,proposing to all his friends,gossiping to all his friends,confessing to all his friends,
2,3,1,4,
mutually in the past twenty years,narrowly in the past twenty years,considerably in the past twenty years,scarcely in the past twenty years,
2,2,3,1,
reciting their opinions,giggling their opinions,murmuring their opinions,whistling their opinions,
1,7,10,2,
he is a very absolute,he is a very precise,he is a very economic,he is a very stingy,
2,10,6,8,
websites you can visit to help you overcome,websites you can visit to help you interpret,websites you can visit to help you transfer,websites you can visit to help you revise,
7,5,2,6,
capacity of the new computer has,occupation of the new computer has,attachment of the new computer has,machinery of the new computer has,
4,8,8,3,
