overgrow her roommate,bother her roommate,pursue her roommate,avoid her roommate,
1,12500,9,9850,
gave out sounds of contentment,gave out sounds of dominance,gave out sounds of explosion,gave out sounds of affection,
2,0,0,0,
punched his performer,punched his attendant,punched his opponent,punched his messenger,
0,3,43000,3,
fasten its drying,hasten its drying,lengthen its drying,strengthen its drying,
93,779,129,10,
conceals sleepiness,recruits sleepiness,absorbs sleepiness,induces sleepiness,
0,42,2,7190,
tired of the routine of her job and the disturbance,tired of the routine of her job and the salvation,tired of the routine of her job and the remainder,tired of the routine of her job and the monotony,
0,0,0,0,
